Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        1     0.00     0.00  CCmdDispatch::serverTerminate(CCfgRemoteUnit*)
  0.00      0.00     0.00        1     0.00     0.00  CCmdDispatch::doActionTS1MkDir(CCfgRemoteUnit*, long, long)
  0.00      0.00     0.00        1     0.00     0.00  CCmdDispatch::doActionTS1Upload(CCfgRemoteUnit*, long, long)
  0.00      0.00     0.00        1     0.00     0.00  CCmdDispatch::doActionTS1DownloadAndProcess(CCfgRemoteUnit*, long, long, long)
  0.00      0.00     0.00        1     0.00     0.00  CCmdDispatch::CCmdDispatch(char*)
  0.00      0.00     0.00        1     0.00     0.00  CCmdListener::setOutPort(long)
  0.00      0.00     0.00        1     0.00     0.00  CCmdListener::remoteExec2()
  0.00      0.00     0.00        1     0.00     0.00  CCmdListener::resetAllConnections()
  0.00      0.00     0.00        1     0.00     0.00  CCmdListener::getAvailableConnection()
  0.00      0.00     0.00        1     0.00     0.00  CCmdListener::sendDataMessageToListener(unsigned char*, int)
  0.00      0.00     0.00        1     0.00     0.00  CCmdListener::sendStringMessageToListener(char*)
  0.00      0.00     0.00        1     0.00     0.00  CCmdListener::start()
  0.00      0.00     0.00        1     0.00     0.00  CCmdListener::setInPort(long)
  0.00      0.00     0.00        1     0.00     0.00  CCmdListener::setIpAddr(char*)
  0.00      0.00     0.00        1     0.00     0.00  CCmdListener::CCmdListener()
  0.00      0.00     0.00        1     0.00     0.00  CCfgConfigTag::buildConfigTags()
  0.00      0.00     0.00        1     0.00     0.00  CCfgConfigTag::loadConfigTagsValue(char*)
  0.00      0.00     0.00        1     0.00     0.00  CCfgConfigTag::init(int, char*)
  0.00      0.00     0.00        1     0.00     0.00  CCfgConfigTag::terminate()
  0.00      0.00     0.00        1     0.00     0.00  CCfgConfigTag::CCfgConfigTag()
  0.00      0.00     0.00        1     0.00     0.00  CCfgConfigTag::~CCfgConfigTag()
  0.00      0.00     0.00        1     0.00     0.00  CCfgHostServer::loadConfig(CCfgConfigTag*)
  0.00      0.00     0.00        1     0.00     0.00  CCfgHostServer::initDefaults()
  0.00      0.00     0.00        1     0.00     0.00  CCfgHostServer::init()
  0.00      0.00     0.00        1     0.00     0.00  CCfgHostServer::getName()
  0.00      0.00     0.00        1     0.00     0.00  CCfgHostServer::terminate()
  0.00      0.00     0.00        1     0.00     0.00  CCfgHostServer::CCfgHostServer()
  0.00      0.00     0.00        1     0.00     0.00  CCfgHostServer::~CCfgHostServer()
  0.00      0.00     0.00        1     0.00     0.00  CTableMetadata::loadFile(char*)
  0.00      0.00     0.00        1     0.00     0.00  CTableMetadata::saveFile(char*)
  0.00      0.00     0.00        1     0.00     0.00  CTableMetadata::CTableMetadata(int)
  0.00      0.00     0.00        1     0.00     0.00  CUsers::debug(int, char const*, char const*)
  0.00      0.00     0.00        1     0.00     0.00  CUsers::loadFile(char*)
  0.00      0.00     0.00        1     0.00     0.00  CUsers::saveFile(char*)
  0.00      0.00     0.00        1     0.00     0.00  CUsers::CUsers(int)
  0.00      0.00     0.00        1     0.00     0.00  CAppMain::initConfig(char*)
  0.00      0.00     0.00        1     0.00     0.00  CAppMain::getContextPtr()
  0.00      0.00     0.00        1     0.00     0.00  CAppMain::initSequences(int)
  0.00      0.00     0.00        1     0.00     0.00  CAppMain::initTablespace(int)
  0.00      0.00     0.00        1     0.00     0.00  CAppMain::terminateUsers()
  0.00      0.00     0.00        1     0.00     0.00  CAppMain::terminateConfig()
  0.00      0.00     0.00        1     0.00     0.00  CAppMain::initTableMetadata()
  0.00      0.00     0.00        1     0.00     0.00  CAppMain::terminateSequences()
  0.00      0.00     0.00        1     0.00     0.00  CAppMain::terminateTablespace()
  0.00      0.00     0.00        1     0.00     0.00  CAppMain::terminateTableMetadata()
  0.00      0.00     0.00        1     0.00     0.00  CAppMain::init(int, char*)
  0.00      0.00     0.00        1     0.00     0.00  CAppMain::initUsers(int)
  0.00      0.00     0.00        1     0.00     0.00  CAppMain::terminate()
  0.00      0.00     0.00        1     0.00     0.00  CAppMain::CAppMain()
  0.00      0.00     0.00        1     0.00     0.00  CCmdTest::testUpload(CCfgRemoteUnit*, long, long)
  0.00      0.00     0.00        1     0.00     0.00  CCmdTest::remoteBenchmark2()
  0.00      0.00     0.00        1     0.00     0.00  CCmdTest::testDownloadAndProcess(CCfgRemoteUnit*, long, long, long)
  0.00      0.00     0.00        1     0.00     0.00  CCmdTest::testTerminateRemoteUnit(CCfgRemoteUnit*)
  0.00      0.00     0.00        1     0.00     0.00  CCmdTest::testMkDir(CCfgRemoteUnit*, long, long)
  0.00      0.00     0.00        1     0.00     0.00  CCmdTest::CCmdTest()
  0.00      0.00     0.00        1     0.00     0.00  CCmdTest::~CCmdTest()
  0.00      0.00     0.00        1     0.00     0.00  CSequence::loadFile(char*)
  0.00      0.00     0.00        1     0.00     0.00  CSequence::saveFile(char*)
  0.00      0.00     0.00        1     0.00     0.00  CSequence::CSequence(int)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2016 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) no time propagated

index % time    self  children    called     name
                0.00    0.00    4710/10415       CCfgConfigTag::findConfigTagByName(char*) [25]
                0.00    0.00    5705/10415       CCfgConfigTag::setConfigTagValue(char*, char*) [24]
[15]     0.0    0.00    0.00   10415         strNCmpCaseUtil(char*, char*, int, int) [15]
-----------------------------------------------
                0.00    0.00      47/246         CCfgConfigTag::setConfigTagValue(char*, char*) [24]
                0.00    0.00     199/246         CCfgConfigTag::addNewConfigTag(int, int, char*) [21]
[16]     0.0    0.00    0.00     246         CCfgConfigTag::debugEntry(int, char const*, char const*, config_tag_struct*) [16]
-----------------------------------------------
                0.00    0.00       1/240         CCfgContext::CCfgContext() [76]
                0.00    0.00       1/240         CCfgContext::resetDataLocation(char*) [75]
                0.00    0.00       1/240         CCfgListener::initDefaults() [84]
                0.00    0.00       1/240         CCfgConfig::loadConfig(char*) [67]
                0.00    0.00       1/240         CAppMain::initSequences(int) [126]
                0.00    0.00       1/240         CAppMain::initUsers(int) [135]
                0.00    0.00       1/240         CAppMain::initTablespace(int) [127]
                0.00    0.00       1/240         CAppMain::initTableMetadata() [130]
                0.00    0.00       1/240         CAppMain::terminateSequences() [131]
                0.00    0.00       1/240         CAppMain::terminateUsers() [128]
                0.00    0.00       1/240         CAppMain::terminateTablespace() [132]
                0.00    0.00       1/240         CAppMain::terminateTableMetadata() [133]
                0.00    0.00       1/240         CCmdDispatch::CCmdDispatch(char*) [93]
                0.00    0.00       1/240         CCmdListener::setIpAddr(char*) [102]
                0.00    0.00       1/240         cmd_listener_run(void*) [185]
                0.00    0.00       1/240         parserParams(int, char**, cmdline_struct*) [62]
                0.00    0.00       3/240         CCfgHostServer::initDefaults() [111]
                0.00    0.00       3/240         CCfgHostServer::loadConfig(CCfgConfigTag*) [110]
                0.00    0.00      11/240         CCfgContext::initDefaults() [74]
                0.00    0.00      20/240         CCfgRemoteUnit::loadConfig(int, CCfgConfigTag*) [42]
                0.00    0.00      47/240         CCfgConfigTag::setConfigTagValue(char*, char*) [24]
                0.00    0.00     140/240         CCfgConfigTag::loadConfigTagsValue(char*) [105]
[17]     0.0    0.00    0.00     240         strNCpyUtil(char*, char*, int) [17]
-----------------------------------------------
                0.00    0.00       1/230         CCfgContext::CCfgContext() [76]
                0.00    0.00       1/230         CCfgContext::resetDataLocation(char*) [75]
                0.00    0.00       1/230         CCmdDispatch::CCmdDispatch(char*) [93]
                0.00    0.00       1/230         cmd_listener_run(void*) [185]
                0.00    0.00       2/230         CTableSpace::saveFile(char*) [80]
                0.00    0.00       2/230         CAppMain::initConfig(char*) [124]
                0.00    0.00       2/230         CCmdTest::testMkDir(CCfgRemoteUnit*, long, long) [142]
