Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     34.05     0.00       12     0.00     0.00  CDskPathMan::findItem(long, dsk_path_struct**)
  0.00     34.05     0.00       12     0.00     0.00  CCfgRemoteUnit::getOid()
  0.00     34.05     0.00       12     0.00     0.00  CTableMetadata::getItemAt(int)
  0.00     34.05     0.00       11     0.00     0.00  CImageTable::debugEntry(int, char const*, char const*, image_table_struct*)
  0.00     34.05     0.00       11     0.00     0.00  CImageTable::findItem(long, image_table_struct*)
  0.00     34.05     0.00       11     0.00     0.00  CAppExec::execIMG_TBLIMGRIO(long, image_table_struct*)
  0.00     34.05     0.00       11     0.00     0.00  CAppMain::getImageTablePtr(char*)
  0.00     34.05     0.00       10     0.00     0.00  CDskPathMan::setItemData(dsk_path_struct**, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, char*, char*, char*)
  0.00     34.05     0.00       10     0.00     0.00  CDskPathMan::addItem(char*, char*, long, long, long, long, long, long, long, long*)
  0.00     34.05     0.00       10     0.00     0.00  CDskDiskManExec::waitThreadGroup(long, long)
  0.00     34.05     0.00       10     0.00     0.00  CDskDiskManExec::resetAllThreadsByGroup(long)
  0.00     34.05     0.00        9     0.00     0.00  showMessage(char const*, long)
  0.00     34.05     0.00        8     0.00     0.00  CDskDiskMan::showListDir(long, long, long)
  0.00     34.05     0.00        8     0.00     0.00  CDskDiskMan::doListDir(dsk_path_struct**, long*, long, long)
  0.00     34.05     0.00        8     0.00     0.00  CDskPathMan::findAllChildByPathParent(dsk_path_struct**, long*, long, long)
  0.00     34.05     0.00        8     0.00     0.00  CDskPathMan::getNumEntriesByPathParent(long*, long, long)
  0.00     34.05     0.00        7     0.00     0.00  strIsEmptyUtil(char*)
  0.00     34.05     0.00        7     0.00     0.00  CCfgRemoteUnit::getName()
  0.00     34.05     0.00        7     0.00     0.00  CCfgParam::loadConfig(int, int, CCfgConfigTag*)
